kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10141900,K01082.03,Kepler-763 b,CONFIRMED,CANDIDATE,,,,,,1.19657700,1.70000e-05,-1.70000e-05,132.5227000,2.40000e-03,-2.40000e-03,0.5300,0.61,-0.61,1.2406,,,190,,,1.02,0.46,-0.46,1347.0,,,,,,17.70,,,5194.00,97.00,-97.00,4.630,0.300,-0.300,0.7300,0.3100,-0.3100,292.144470,47.157349,15.692
10157458,K01083.01,Kepler-764 b,CONFIRMED,CANDIDATE,,,,,,7.33674000,1.30000e-04,-1.30000e-04,138.5856000,5.70000e-03,-5.70000e-03,0.7100,0.39,-0.39,3.4844,,,349,,,1.80,1.20,-1.20,886.0,,,,,,23.40,,,5804.00,101.00,-101.00,4.540,0.300,-0.300,0.8700,0.5800,-0.5800,297.393190,47.164631,15.302
10148521,K01084.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,1.20427370,1.90000e-06,-1.90000e-06,134.0570200,9.30000e-04,-9.30000e-04,0.4800,0.76,-0.76,1.4012,,,213,,,1.24,0.71,-0.71,1538.0,,,,,,44.40,,,5651.00,84.00,-84.00,4.560,0.300,-0.300,0.8400,0.3100,-0.3100,294.596130,47.197449,14.415
5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.38405380,3.90000e-06,-3.90000e-06,171.5829000,1.10000e-03,-1.10000e-03,0.0200,0.11,-0.11,2.2918,,,1498,,,2.50,1.20,-1.20,983.0,,,,,,73.70,,,4796.00,71.00,-71.00,4.620,0.300,-0.300,0.6690,0.0180,-0.0180,299.642850,40.691238,15.836
10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,,,,,,4.90146700,3.90000e-05,-3.90000e-05,138.6039000,2.60000e-03,-2.60000e-03,0.9240,0.10,-0.10,4.4100,,,140,,,1.71,0.17,-0.17,1165.0,,,,,,57.60,,,5949.00,50.00,-50.00,4.370,0.100,-0.100,1.1800,0.1100,-0.1100,297.028260,48.208611,12.487
5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,,,,,,7.95355800,6.50000e-05,-6.50000e-05,174.6610000,2.70000e-03,-2.70000e-03,0.5000,0.65,-0.65,2.6453,,,895,,,1.99,0.24,-0.24,662.0,,,,,,47.50,,,4921.00,84.00,-84.00,4.670,0.300,-0.300,0.6610,0.0230,-0.0230,291.158780,40.750271,15.660
5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,,,,,,4.14453800,5.00000e-05,-5.00000e-05,135.9263000,4.10000e-03,-4.10000e-03,0.4100,0.71,-0.71,2.2090,,,379,,,1.28,0.16,-0.16,823.0,,,,,,25.90,,,4921.00,84.00,-84.00,4.670,0.300,-0.300,0.6610,0.0230,-0.0230,291.158780,40.750271,15.660
5534814,K00838.01,,CANDIDATE,CANDIDATE,,,,,,4.85938430,3.80000e-06,-3.80000e-06,173.0108300,2.60000e-04,-2.60000e-04,0.9980,0.10,-0.10,2.2473,,,5711,,,13.20,6.90,-6.90,1107.0,,,,,,284.20,,,6045.00,127.00,-127.00,4.470,0.300,-0.300,0.9800,0.4500,-0.4500,292.214360,40.759762,15.311
5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.44673610,1.40000e-06,-1.40000e-06,170.6689600,3.80000e-04,-3.80000e-04,1.1100,0.68,-0.68,3.2701,,,3338,,,18.00,11.00,-11.00,1251.0,,,,,,371.30,,,5741.00,99.00,,4.560,0.300,-0.300,0.8500,0.3000,-0.3000,298.961120,40.862808,15.021
5651104,K00840.01,Kepler-695 b,CONFIRMED,FALSE POSITIVE,,,,,,3.04032930,1.10000e-06,-1.10000e-06,169.9483300,1.00000e-04,-1.00000e-04,0.7140,0.10,-0.10,1.8021,,,9577,,,7.70,3.80,-3.80,979.0,,,,,,867.60,,,5004.00,75.00,-75.00,4.580,0.300,-0.300,0.7300,0.3600,-0.3600,299.316100,40.822380,15.028
5792202,K00841.01,Kepler-27 b,CONFIRMED,NOT DISPOSITIONED,,,,,,15.33524400,3.80000e-05,-3.80000e-05,174.0020000,1.10000e-03,-1.10000e-03,0.8390,0.10,-0.10,3.9354,,,2968,,,5.72,0.26,-0.26,656.0,,,,,,100.00,,,5399.00,60.00,-60.00,4.510,0.200,-0.200,0.9190,0.0410,-0.0410,292.236760,41.085880,15.855
5792202,K00841.02,Kepler-27 c,CONFIRMED,NOT DISPOSITIONED,,,,,,31.33055400,7.30000e-05,-7.30000e-05,153.4291000,1.20000e-03,-1.20000e-03,0.8360,0.10,-0.10,5.2233,,,4889,,,7.34,0.34,-0.34,518.0,,,,,,156.20,,,5399.00,60.00,-60.00,4.510,0.200,-0.200,0.9190,0.0410,-0.0410,292.236760,41.085880,15.855
5792202,K00841.03,Kepler-27 d,CONFIRMED,CANDIDATE,,,,,,6.54630300,4.00000e-05,-4.00000e-05,133.8540000,2.80000e-03,-2.80000e-03,0.8040,0.10,-0.10,2.9571,,,747,,,2.80,0.14,-0.14,876.0,,,,,,38.00,,,5399.00,60.00,-60.00,4.510,0.200,-0.200,0.9190,0.0410,-0.0410,292.236760,41.085880,15.855
5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,,,,,,12.71807000,7.50000e-05,-7.50000e-05,175.3540000,2.00000e-03,-2.00000e-03,0.3200,0.95,-0.95,3.1446,,,1185,,,2.17,0.39,-0.39,548.0,,,,,,60.70,,,4709.00,63.00,-63.00,4.640,0.300,-0.300,0.6480,0.0160,-0.0160,292.913120,41.060921,15.389
9480189,K00941.01,Kepler-257 c,CONFIRMED,CANDIDATE,,,,,,6.58150100,1.70000e-05,-1.70000e-05,174.7861900,7.60000e-04,-7.60000e-04,0.0300,0.36,-0.36,3.0976,,,2274,,,3.40,3.80,-3.80,775.0,,,,,,143.80,,,5058.00,103.00,-103.00,4.560,0.300,-0.300,0.7500,0.8200,-0.8200,297.315980,46.023258,15.471
9941662,K00013.01,Kepler-13 b,CONFIRMED,NOT DISPOSITIONED,,,,,,1.76358770,1.00000e-06,-1.00000e-06,120.5651260,1.00000e-05,-1.00000e-05,0.3500,0.10,-0.10,3.1666,,,4633,,,23.00,16.00,-16.00,3370.0,,,,,,5153.90,,,9071.00,200.00,-200.00,3.930,0.300,-0.300,2.7000,1.9000,-1.9000,286.971190,46.868359,9.958
11359879,K00128.01,Kepler-15 b,CONFIRMED,NOT DISPOSITIONED,,,,,,4.94278327,9.30000e-07,-9.30000e-07,136.3290040,6.70000e-05,-6.70000e-05,0.5990,0.10,-0.10,3.3820,,,10877,,,11.97,0.85,-0.85,1097.0,,,,,,2025.40,,,5786.00,50.00,-50.00,4.420,0.100,-0.100,1.0900,0.0780,-0.0780,296.200590,49.140121,13.758
9480189,K00941.02,Kepler-257 b,CONFIRMED,CANDIDATE,,,,,,2.38266600,1.30000e-05,-1.30000e-05,170.6632000,1.30000e-03,-1.30000e-03,0.5400,0.26,-0.26,1.8525,,,672,,,2.00,2.20,-2.20,1079.0,,,,,,55.70,,,5058.00,103.00,-103.00,4.560,0.300,-0.300,0.7500,0.8200,-0.8200,297.315980,46.023258,15.471
9480189,K00941.03,Kepler-257 d,CONFIRMED,CANDIDATE,,,,,,24.66454000,1.10000e-04,-1.10000e-04,189.0203000,1.30000e-03,-1.30000e-03,0.8400,0.11,-0.11,2.9456,,,2417,,,4.20,4.70,-4.70,498.0,,,,,,84.60,,,5058.00,103.00,-103.00,4.560,0.300,-0.300,0.7500,0.8200,-0.8200,297.315980,46.023258,15.471
9512687,K00942.01,Kepler-735 b,CONFIRMED,CANDIDATE,,,,,,11.51509300,4.70000e-05,-4.70000e-05,174.8597000,1.40000e-03,-1.40000e-03,0.7100,0.73,-0.73,2.0548,,,1370,,,2.70,1.20,-1.20,612.0,,,,,,66.20,,,5070.00,84.00,-84.00,4.660,0.300,-0.300,0.6900,0.0780,-0.0780,284.688870,46.172249,15.386
9513865,K00943.01,Kepler-736 b,CONFIRMED,CANDIDATE,,,,,,3.60144900,1.80000e-05,-1.80000e-05,171.9918000,1.50000e-03,-1.50000e-03,0.2400,0.99,-0.99,2.2486,,,830,,,2.10,1.10,-1.10,963.0,,,,,,58.00,,,5273.00,86.00,-86.00,4.630,0.300,-0.300,0.7400,0.3900,-0.3900,285.391330,46.180939,15.733
9595686,K00944.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.10825110,5.90000e-06,-5.90000e-06,170.2440400,5.80000e-04,-5.80000e-04,0.8960,0.10,-0.10,2.5337,,,1880,,,4.40,2.50,-2.50,1086.0,,,,,,173.70,,,5303.00,82.00,-82.00,4.490,0.300,-0.300,0.8400,0.4700,-0.4700,294.799740,46.207569,15.361
9605514,K00945.01,Kepler-1666 b,CONFIRMED,CANDIDATE,,,,,,25.84723000,4.50000e-04,-4.50000e-04,188.8755000,5.10000e-03,-5.10000e-03,0.5600,0.17,-0.17,6.1635,,,532,,,2.55,0.96,-0.96,680.0,,,,,,31.20,,,6317.00,119.00,-119.00,4.440,0.300,-0.300,1.0700,0.4000,-0.4000,297.951600,46.264721,15.083
9605514,K00945.02,Kepler-1666 c,CONFIRMED,CANDIDATE,,,,,,40.71652000,6.50000e-04,-6.50000e-04,146.3595000,5.60000e-03,-5.60000e-03,0.6000,0.15,-0.15,7.0083,,,705,,,3.00,1.10,-1.10,585.0,,,,,,36.10,,,6317.00,119.00,-119.00,4.440,0.300,-0.300,1.0700,0.4000,-0.4000,297.951600,46.264721,15.083
9661877,K00946.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,20.42724100,5.90000e-05,-5.90000e-05,176.7165000,1.90000e-03,-1.90000e-03,1.0400,0.86,-0.86,2.7027,,,1259,,,9.40,5.80,-5.80,663.0,,,,,,51.40,,,5993.00,124.00,-124.00,4.510,0.300,-0.300,0.9300,0.3900,-0.3900,296.659150,46.382172,15.163
10118816,K01085.01,Kepler-1735 b,CONFIRMED,CANDIDATE,,,,,,7.71797000,1.40000e-04,-1.40000e-04,139.1551000,6.60000e-03,-6.60000e-03,0.8400,0.63,-0.63,2.1016,,,307,,,1.06,0.31,-0.31,519.0,,,,,,15.10,,,4072.00,74.00,-74.00,4.740,0.300,-0.300,0.5260,0.0100,-0.0100,281.050110,47.188148,15.233
10122255,K01086.01,Kepler-765 b,CONFIRMED,CANDIDATE,,,,,,27.66556000,4.50000e-04,-4.50000e-04,144.8677000,6.00000e-03,-6.00000e-03,0.5100,0.18,-0.18,6.7058,,,439,,,2.27,0.93,-0.93,644.0,,,,,,44.30,,,6058.00,88.00,-88.00,4.410,0.300,-0.300,1.0500,0.4300,-0.4300,283.184600,47.155670,14.609
3124412,K01087.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.94895120,1.10000e-06,-1.10000e-06,134.3672500,3.40000e-04,-3.40000e-04,1.2290,0.10,-0.10,3.9030,,,3505,,,35.00,15.00,-15.00,2037.0,,,,,,334.60,,,6269.00,157.00,-157.00,4.410,0.300,-0.300,1.0800,0.4500,-0.4500,293.243840,38.273270,14.909
3113266,K01088.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,0.49793081,1.10000e-07,-1.10000e-07,133.3417900,1.00000e-04,-1.00000e-04,0.9700,0.34,-0.34,0.9577,,,5131,,,9.20,5.20,-5.20,1890.0,,,,,,453.70,,,5346.00,81.00,-81.00,4.590,0.300,-0.300,0.7700,0.3600,-0.3600,290.639430,38.284630,15.577
4649305,K00143.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,22.65119700,1.60000e-05,-1.60000e-05,140.3363800,4.90000e-04,-4.90000e-04,0.9310,0.10,-0.10,3.4917,,,2330,,,8.30,4.30,-4.30,864.0,,,,,,262.40,,,6984.00,130.00,-130.00,4.300,0.300,-0.300,1.3700,0.7000,-0.7000,290.103330,39.781631,13.682
3247268,K01089.01,Kepler-418 b,CONFIRMED,CANDIDATE,,,,,,86.67831000,2.00000e-04,-2.00000e-04,175.5964600,8.10000e-04,-8.10000e-04,0.3810,0.10,-0.10,10.1137,,,8117,,,9.70,5.70,-5.70,447.0,,,,,,313.30,,,6166.00,123.00,-123.00,4.420,0.300,-0.300,1.0600,0.6300,-0.6300,294.433500,38.355450,14.696
3247268,K01089.02,Kepler-418 c,CONFIRMED,CANDIDATE,,,,,,12.21825500,3.90000e-05,-3.90000e-05,140.3205000,1.10000e-03,-1.10000e-03,0.8850,0.10,-0.10,2.8912,,,1807,,,5.30,3.10,-3.10,860.0,,,,,,99.50,,,6166.00,123.00,-123.00,4.420,0.300,-0.300,1.0600,0.6300,-0.6300,294.433500,38.355450,14.696
3232859,K01090.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,8.38721170,1.90000e-06,-1.90000e-06,138.9025700,1.60000e-04,-1.60000e-04,1.2100,0.98,-0.98,1.8380,,,5897,,,36.00,21.00,-21.00,987.0,,,,,,456.40,,,6278.00,96.00,-96.00,4.430,0.300,-0.300,1.0700,0.3900,-0.3900,290.862000,38.353580,14.010
3098184,K01091.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,15.23928000,1.30000e-04,-1.30000e-04,369.5610000,4.80000e-03,-4.80000e-03,0.8900,0.23,-0.23,12.7321,,,16447,,,13.20,5.10,-5.10,690.0,,,,,,155.90,,,6164.00,200.00,-200.00,4.670,0.300,-0.300,0.7900,0.3000,-0.3000,286.000310,38.284599,15.148
2720309,K01092.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,0.41333387,1.50000e-07,-1.50000e-07,133.2127200,1.80000e-04,-1.80000e-04,0.3400,0.64,-0.64,1.3900,,,1767,,,3.80,2.20,-2.20,2351.0,,,,,,232.70,,,5890.00,119.00,-119.00,4.530,0.300,-0.300,0.9000,0.5200,-0.5200,293.025120,37.992641,14.784
3239636,K01093.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,,,,,0.52875259,9.20000e-07,-9.20000e-07,133.3855000,1.00000e-03,-1.00000e-03,0.0300,0.10,-0.10,3.4843,,,459,,,2.37,0.80,-0.80,2637.0,,,,,,147.10,,,6541.00,133.00,-133.00,4.390,0.300,-0.300,1.1700,0.2500,-0.2500,292.583040,38.374378,14.662
2721030,K01094.01,Kepler-766 b,CONFIRMED,CANDIDATE,,,,,,6.10029500,6.60000e-05,-6.60000e-05,135.5846000,3.90000e-03,-3.90000e-03,0.8170,0.10,-0.10,5.0691,,,781,,,2.90,1.30,-1.30,975.0,,,,,,47.50,,,5938.00,136.00,-136.00,4.520,0.300,-0.300,0.9100,0.4000,-0.4000,293.184540,37.969841,15.678
11446443,K00001.01,Kepler-1 b,CONFIRMED,NOT DISPOSITIONED,,,,,,2.47061317,9.00000e-08,-9.00000e-08,122.7625662,9.70000e-06,-9.70000e-06,0.8220,0.10,-0.10,1.7246,,,14284,,,14.40,1.60,-1.60,1394.0,,,,,,7856.10,,,5814.00,50.00,-50.00,4.380,0.100,-0.100,1.0600,0.1100,-0.1100,286.808470,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,NOT DISPOSITIONED,,,,,,2.20473537,1.40000e-07,-1.40000e-07,121.3578020,1.90000e-05,-1.90000e-05,0.1282,0.10,-0.10,3.8775,,,6713,,,22.30,3.00,-3.00,2303.0,,,,,,5812.40,,,6264.00,50.00,-50.00,3.790,0.100,-0.100,2.7100,0.3600,-0.3600,292.247280,47.969521,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,NOT DISPOSITIONED,,,,,,3.52249913,7.30000e-07,-7.30000e-07,121.1185950,7.20000e-05,-7.20000e-05,0.6400,0.10,-0.10,3.1984,,,9165,,,15.90,2.10,-2.10,1532.0,,,,,,2164.60,,,6025.00,112.00,-112.00,4.110,0.100,-0.100,1.5600,0.2100,-0.2100,281.288120,42.451080,13.563
5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,,,,,,36.06595000,2.70000e-04,-2.70000e-04,198.5819000,2.50000e-03,-2.50000e-03,0.4200,0.88,-0.88,4.3024,,,1666,,,2.61,0.47,-0.47,387.0,,,,,,60.40,,,4709.00,63.00,-63.00,4.640,0.300,-0.300,0.6480,0.0160,-0.0160,292.913120,41.060921,15.389
10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,,,,,,3.17996200,2.50000e-05,-2.50000e-05,133.5041000,2.30000e-03,-2.30000e-03,0.9320,0.10,-0.10,3.7308,,,117,,,1.58,0.15,-0.15,1345.0,,,,,,60.40,,,5949.00,50.00,-50.00,4.370,0.100,-0.100,1.1800,0.1100,-0.1100,297.028260,48.208611,12.487
5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,,,,,,4.19040910,5.70000e-06,-5.70000e-06,171.4415500,4.30000e-04,-4.30000e-04,0.6890,0.10,-0.10,2.9628,,,2876,,,5.90,2.60,-2.60,1186.0,,,,,,261.80,,,5956.00,144.00,-144.00,4.400,0.300,-0.300,1.0400,0.4500,-0.4500,293.496610,41.137589,15.270
6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,,,,,,3.70988400,1.00000e-05,-1.00000e-05,171.9856000,8.50000e-04,-8.50000e-04,0.4000,0.31,-0.31,3.0893,,,2053,,,3.60,1.00,-1.00,1028.0,,,,,,123.10,,,5526.00,92.00,-92.00,4.590,0.300,-0.300,0.8000,0.2300,-0.2300,283.864410,41.346458,15.581
6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,,,,,,16.32986000,1.10000e-04,-1.10000e-04,177.2907000,2.40000e-03,-2.40000e-03,0.5960,0.10,-0.10,6.0136,,,1187,,,3.50,1.40,-1.40,725.0,,,,,,82.20,,,5846.00,114.00,-114.00,4.440,0.300,-0.300,0.9800,0.4000,-0.4000,288.510010,41.301769,15.447
6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,,,,,,27.80754300,1.40000e-05,-1.40000e-05,186.7129600,1.80000e-04,-1.80000e-04,0.7844,0.10,-0.10,4.1659,,,25583,,,16.20,5.90,-5.90,586.0,,,,,,947.40,,,5923.00,116.00,-116.00,4.530,0.300,-0.300,0.9100,0.3300,-0.3300,296.888210,41.396091,15.482
6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,,,,,,80.87159000,4.50000e-04,-4.50000e-04,203.8968000,1.90000e-03,-1.90000e-03,0.6320,0.10,-0.10,11.4216,,,3600,,,5.40,2.10,-2.10,391.0,,,,,,162.20,,,5738.00,91.00,-91.00,4.550,0.300,-0.300,0.8600,0.3300,-0.3300,287.154300,41.565788,15.201
